日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-01-02,000001,8.15,7.99,8.17,7.99,115836645.0,1075742252.0,2.21,-1.96,-0.16,0.6
2024-01-03,000001,7.97,7.98,8.0,7.94,73361031.0,673673614.0,0.75,-0.13,-0.01,0.38
2024-01-04,000001,7.97,7.91,7.97,7.88,86419399.0,787470082.0,1.13,-0.88,-0.07,0.45
2024-01-05,000001,7.9,8.04,8.19,7.87,199162216.0,1852659692.0,4.05,1.64,0.13,1.03
2024-01-08,000001,8.01,7.94,8.07,7.91,112115619.0,1029006549.0,1.99,-1.24,-0.1,0.58
2024-01-09,000001,7.95,7.97,7.97,7.89,76619388.0,700375720.0,1.01,0.38,0.03,0.39
2024-01-10,000001,7.95,7.89,7.97,7.89,85862091.0,783771150.0,1.0,-1.0,-0.08,0.44
2024-01-11,000001,7.88,7.96,8.0,7.84,93468637.0,853890237.0,2.03,0.89,0.07,0.48
2024-01-12,000001,7.92,7.97,8.04,7.91,77258215.0,711018266.0,1.63,0.13,0.01,0.4
2024-01-15,000001,7.95,7.99,8.06,7.92,74513266.0,685950951.0,1.76,0.25,0.02,0.38
2024-01-16,000001,7.97,8.11,8.11,7.95,143831258.0,1334465409.0,2.0,1.5,0.12,0.74
2024-01-17,000001,8.1,8.01,8.15,8.01,148229621.0,1380725065.0,1.73,-1.23,-0.1,0.76
2024-01-18,000001,7.99,7.98,8.02,7.81,175513247.0,1597853727.0,2.62,-0.37,-0.03,0.9
2024-01-19,000001,7.95,7.96,7.98,7.9,96398142.0,881865024.0,1.0,-0.25,-0.02,0.5
2024-01-22,000001,7.95,7.9,8.04,7.84,158031966.0,1449858242.0,2.51,-0.75,-0.06,0.81
2024-01-23,000001,7.85,7.95,7.97,7.78,113554458.0,1030898421.0,2.41,0.63,0.05,0.59
2024-01-24,000001,8.01,8.1,8.11,7.87,175912316.0,1620099272.0,3.02,1.89,0.15,0.91
2024-01-25,000001,8.1,8.24,8.28,8.04,216251395.0,2037648413.0,2.96,1.73,0.14,1.11
2024-01-26,000001,8.22,8.35,8.39,8.19,227228706.0,2172799799.0,2.43,1.33,0.11,1.17
2024-01-29,000001,8.41,8.42,8.57,8.31,237625184.0,2312173346.0,3.11,0.84,0.07,1.22
2024-01-30,000001,8.34,8.24,8.42,8.24,157912214.0,1515156604.0,2.14,-2.14,-0.18,0.81
2024-01-31,000001,8.21,8.21,8.3,8.14,135721747.0,1286857397.0,1.94,-0.36,-0.03,0.7
2024-02-01,000001,8.17,8.17,8.23,8.11,105525987.0,993481907.0,1.46,-0.49,-0.04,0.54
